aspA aspB jakosc_dopasowannia pMut pKrzyz speciemens N Time
19400 6.89557e+197 0.3 100 100 100 200 2.461
19400 6.89557e+197 0.3 100 100 100 200 2.581
19400 6.89557e+197 0.3 100 100 10 10 0.076
19400 6.89557e+197 0.3 100 100 100 10 0.548
19400 6.89557e+197 0.3 100 100 200 10 1.117
19400 6.89557e+197 0.3 100 100 400 10 2.222
19400 6.89557e+197 0.3 100 100 100 50 1.128
19400 6.89557e+197 0.3 100 100 200 50 2.185
19400 6.89557e+197 0.3 100 100 400 50 4.432
19400 6.89557e+197 0.3 100 100 100 50 1.093
19400 6.89557e+197 0.3 100 100 10 100 0.18
19400 6.89557e+197 0.3 100 100 100 100 1.39
19400 6.89557e+197 0.3 100 100 200 100 2.709
19400 6.89557e+197 0.3 100 100 400 100 5.349
19400 6.89557e+197 0.3 100 100 10 200 0.326
19400 6.89557e+197 0.3 100 100 100 200 2.517
19400 6.89557e+197 0.3 100 100 200 200 4.9
19400 6.89557e+197 0.3 100 100 400 200 9.56
